*********************************************
   COMPRESSIBLE TURBULENT CHANNEL DATA
   Contact to Jie Yao(jie.yao@ttu.edu) for questions.
   The data in this file was extracted from a direct numerical simulation of fully developed compressible turbulent channel flow.
*********************************************
 Reb	=	17000 
 Mb	= 	0.8
 Cf	=  	0.00516943581258460
 Retau  =   	9.089598661222100e+02
 Bq     =  	-0.0121270160312849


*****************************************************************************************************************************
y/h	y+	ys	u+	uvd	ut	urms	vrms	wrms	uvrms	T/Tw	rho/rhow
0	0	0	0	0	0	0	0	0	0	1	1
0.000771123410359	0.700920231843829	0.695499237603979	0.700920231843829	0.698787081702248	0.693340460714078	0.083893953209249	1.66E-05	0.027914779487016	0.000335742981032	1.00612005103952	0.993922549024425
0.001557878334289	1.41604888217002	1.39461680611625	1.41111602188118	1.40474386293474	1.38879246634347	0.333705663185657	0.000222767743531	0.096636900254347	0.002610822909527	1.01206648052274	0.988098048482885
0.002360568955315	2.14566244159567	2.0980373800115	2.12815304823978	2.11549045118529	2.08444561417146	0.742576009131665	0.000985816518124	0.189321456077039	0.008867081207217	1.0178222832231	0.982531318659098
0.003179504847344	2.89004230037649	2.80650155982555	2.84881013712539	2.82789567112666	2.77773794428703	1.29617433796252	0.002727472102865	0.294402684007959	0.020984075516653	1.02336781951231	0.977230155245043
0.004015001047871	3.64947481495346	3.52081905586366	3.56845756348132	3.53747121319137	3.46488073528702	1.96901582961514	0.005837918234188	0.40419611610081	0.040284417174061	1.02868058029149	0.972204713070298
0.0048673781312	4.4242513745015	4.2418698497186	4.28146144379136	4.23878068971662	4.14125440425817	2.72489673176991	0.010635756662226	0.513924309494919	0.067288055837082	1.03373799208237	0.967465814299386
0.0057369622816	5.21466846743154	4.97058601105337	4.9818226467894	4.92607070838898	4.80198269699814	3.52174662180401	0.017357917903968	0.62086496403416	0.101660838744142	1.03852087795747	0.963021345810934
0.006624085366365	6.02102774779307	5.70792821267595	5.66377585391399	5.59385406939454	5.44244602614558	4.31800661987404	0.02616418927059	0.7236662068016	0.142381389416571	1.04301542728418	0.958875086645722
0.00752908500869	6.84363610152128	6.45485944236544	6.32224572343197	6.23734654272401	6.05865154605773	5.07785783990476	0.037148641040755	0.821816364352892	0.18798215185106	1.04721408807138	0.955025853844863
0.008452304660324	7.68280571247202	7.21232198607185	6.95313853789189	6.8527396321571	6.64745730631353	5.77422116079165	0.050352248448552	0.915255166088348	0.236816053663592	1.05111561858557	0.951467740118541
0.009394093673917	8.53885412818297	7.98121885886719	7.55347147692832	7.43731431010498	7.20665986307482	6.38953230462211	0.065773700535614	1.00411655698901	0.287265316178144	1.05472450331773	0.948190614968916
0.010354807374996	9.41210432529718	8.7624011196475	8.12136650819426	7.98942424217365	7.73497336342259	6.91489368942483	0.083377362933593	1.08857888950496	0.337890371386562	1.05805005088064	0.94518099798176
